DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
130101281,11/10/2013,11/10/2013,1040,01,Central,0176,237,CHILD NEGLECT (SEE 300 W.I.C.),1257 1402,,M,B,102,SIDEWALK,,,IC,Invest Cont,237,998,,,400 E  7TH                          ST,,"(34.0419, -118.2485)"
130101283,11/12/2013,11/11/2013,1930,01,Central,0105,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,45,M,O,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,400    COTTAGE HOME                 ST,,"(34.0673, -118.2354)"
130101292,11/21/2013,11/20/2013,2000,01,Central,0147,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329,19,M,H,702,OFFICE BUILDING/OFFICE,,,AA,Adult Arrest,740,,,,SAN PEDRO,WINSTON,"(34.045, -118.2435)"
130101297,11/22/2013,11/22/2013,0305,01,Central,0182,624,BATTERY - SIMPLE ASSAULT,0448,23,M,H,108,PARKING LOT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,,OLYMPIC                      BL,OLIVE                        ST,"(34.0423, -118.2595)"
130101302,11/23/2013,11/22/2013,0730,01,Central,0101,310,BURGLARY,0344 1606 0325,45,M,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,900 N  BEAUDRY                      AV,,"(34.0674, -118.2468)"
151214808,06/09/2015,06/08/2010,2000,12,77th Street,1218,510,VEHICLE - STOLEN,,,,,104,DRIVEWAY,,,AA,Adult Arrest,510,,,,600 W  54TH                         ST,,"(33.9933, -118.2842)"
101325427,11/18/2010,11/15/2010,1800,13,Newton,1395,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,AVALON,68TH,"(33.9779, -118.2652)"
172008853,04/06/2017,10/15/2010,1200,20,Olympic,2026,354,THEFT OF IDENTITY,0100 0928,26,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,400 S  CATALINA                     ST,,"(34.0674, -118.2954)"
101425762,11/13/2010,11/10/2010,2000,14,Pacific,1413,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,3RD,ROSE,"(33.997, -118.4761)"
130101306,11/25/2013,11/24/2013,0230,01,Central,0118,624,BATTERY - SIMPLE ASSAULT,0416,23,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,,200    LEROY                        ST,,"(34.0649, -118.2289)"
172108860,04/03/2017,07/03/2010,2000,21,Topanga,2128,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)0060,0503 0504 0505 0522 0542 0443,14,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,860,,,20400    SATICOY                      ST,,"(34.212, -118.5754)"
172111385,05/19/2017,01/01/2010,1200,21,Topanga,2177,121,"RAPE, FORCIBLE",2000 0519 1813,22,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,,,,21500    CALIFA                       ST,,"(34.1773, -118.5988)"
130101307,03/04/2014,11/24/2013,1415,01,Central,0192,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1266 0319 0416 0421,32,M,H,701,HOSPITAL,511,VERBAL THREAT,IC,Invest Cont,930,,,,1300 S  HOPE                         ST,,"(34.0395, -118.2656)"
130101308,11/24/2013,11/24/2013,1415,01,Central,0192,624,BATTERY - SIMPLE ASSAULT,0400,24,F,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1300 S  HOPE                         ST,,"(34.0395, -118.2656)"
101423180,10/13/2010,10/12/2010,1500,14,Pacific,1435,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,SHARNOCK,OCEAN VIEW,"(34.0111, -118.4293)"
130101309,11/25/2013,11/24/2013,1840,01,Central,0146,210,ROBBERY,0344 0416 1008 0429,46,M,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,5TH                          ST,WALL                         ST,"(34.0449, -118.2458)"
130101310,11/25/2013,11/24/2013,0030,01,Central,0159,121,"RAPE, FORCIBLE",,40,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,,,,7TH                          ST,SANTA FE                     AV,"(34.0344, -118.23)"
101416140,07/06/2010,07/04/2010,2300,14,Pacific,1473,330,BURGLARY FROM VEHICLE,0344,27,M,W,101,STREET,,,IC,Invest Cont,330,,,,83RD,LINCOLN,"(33.9627, -118.4217)"
130101313,11/26/2013,11/26/2013,1625,01,Central,0153,888,TRESPASSING,1501,31,M,H,503,HOTEL,,,IC,Invest Cont,888,,,,500 S  SPRING                       ST,,"(34.0474, -118.2496)"
130101314,11/26/2013,11/26/2013,1120,01,Central,0119,410,"BURGLARY FROM VEHICLE, ATTEMPTED",1300 1402 2004,,M,X,101,STREET,,,AA,Adult Arrest,410,998,,,ALPINE,MAIN,"(34.0613, -118.2352)"
130101315,11/27/2013,11/26/2013,2145,01,Central,0111,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344,34,M,I,402,MARKET,,,IC,Invest Cont,442,,,,700 W  CESAR E CHAVEZ               AV,,"(34.0606, -118.2439)"
130101324,11/29/2013,11/29/2013,0820,01,Central,0166,888,TRESPASSING,1501,53,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,888,,,,600 S  SAN PEDRO                    ST,,"(34.0423, -118.2452)"
130101325,11/29/2013,11/29/2013,1400,01,Central,0132,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0444 0400 0429 1813 1814,29,M,O,503,HOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,200 S  OLIVE                        ST,,"(34.0538, -118.2488)"
130101326,11/30/2013,11/30/2013,0230,01,Central,0147,434,FALSE IMPRISONMENT,1402,59,F,B,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,434,998,,,5TH                          ST,WALL,"(34.0446, -118.245)"
130101327,11/30/2013,11/30/2013,0730,01,Central,0158,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1218 2004,56,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,,,6TH                          ST,GLADYS,"(34.0398, -118.2413)"
130101331,11/30/2013,11/30/2013,2150,01,Central,0138,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 0444 0429 0400,22,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,4TH                          ST,OMAR                         ST,"(34.0449, -118.2415)"
130101333,12/01/2013,11/30/2013,1130,01,Central,0185,624,BATTERY - SIMPLE ASSAULT,0416,56,M,O,735,NIGHT CLUB (OPEN EVENINGS ONLY),400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624,,,,1000 S  HILL                         ST,,"(34.0416, -118.2584)"
130101334,12/01/2013,11/29/2013,2000,01,Central,0155,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0311,40,M,H,726,POLICE FACILITY,,,IC,Invest Cont,745,,,,200 E  6TH                          ST,,"(34.0446, -118.249)"
101111295,04/30/2010,04/29/2010,2325,11,Northeast,1179,510,VEHICLE - STOLEN,,,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,100 E  AVENUE 39,,"(34.0912, -118.2111)"
130101335,12/01/2013,11/27/2013,1930,01,Central,0111,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0913 0344,42,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,341,,,,600 N  FIGUEROA                     ST,,"(34.0627, -118.2463)"
130101336,12/02/2013,12/02/2013,0130,01,Central,0157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0411,41,M,O,102,SIDEWALK,207,OTHER KNIFE,AA,Adult Arrest,230,,,,CROCKER                      ST,5TH                          ST,"(34.0435, -118.2427)"
101007859,03/18/2010,03/18/2010,1420,10,West Valley,1063,946,OTHER MISCELLANEOUS CRIME,1501,,M,W,101,STREET,,,IC,Invest Cont,946,,,,VENTURA,RESEDA,"(34.1734, -118.536)"
101321107,09/16/2010,09/16/2010,1120,13,Newton,1394,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,69TH,MAIN,"(33.977, -118.2739)"
100206290,02/11/2010,02/10/2010,1630,02,Rampart,0248,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,3RD,LOMA,"(34.0599, -118.2655)"
130101337,12/02/2013,12/02/2013,1147,01,Central,0163,662,"BUNCO, GRAND THEFT",0800,54,F,H,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,662,,,,300 W  7TH                          ST,,"(34.0452, -118.2534)"
130101338,12/02/2013,12/02/2013,1200,01,Central,0158,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1402 1602 2004,30,M,H,213,WAREHOUSE,,,AA,Adult Arrest,440,998,,,400 S  CENTRAL                      AV,,"(34.0438, -118.2397)"
130101339,12/03/2013,12/03/2013,2205,01,Central,0155,350,"THEFT, PERSON",0344 0346,50,F,H,102,SIDEWALK,,,AO,Adult Other,350,,,,5TH                          ST,WALL                         ST,"(34.0449, -118.2458)"
130101346,12/09/2013,12/09/2013,1520,01,Central,0111,440,THEFT PLAIN - PETTY ($950 & UNDER),,31,M,H,402,MARKET,,,IC,Invest Cont,440,,,,700 W  CESAR E CHAVEZ               AV,,"(34.0606, -118.2439)"
130101349,12/10/2013,12/10/2013,2040,01,Central,0101,330,BURGLARY FROM VEHICLE,1307 0344,30,F,H,101,STREET,,,IC,Invest Cont,330,,,,1100    ALPINE                       ST,,"(34.0661, -118.2476)"
130101353,12/13/2013,12/12/2013,1230,01,Central,0147,220,ATTEMPTED ROBBERY,0308 0411 0216,52,M,H,102,SIDEWALK,207,OTHER KNIFE,IC,Invest Cont,220,,,,5TH                          ST,SAN PEDRO,"(34.0442, -118.2439)"
130101357,12/13/2013,12/12/2013,2145,01,Central,0148,480,BIKE - STOLEN,0344,55,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,480,,,,600 E  5TH                          ST,,"(34.0435, -118.2427)"
130101358,12/18/2013,12/13/2013,2340,01,Central,0162,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344,28,M,H,402,MARKET,,,IC,Invest Cont,442,,,,600 W  9TH                          ST,,"(34.0451, -118.2604)"
130101359,12/16/2013,12/14/2013,2215,01,Central,0156,330,BURGLARY FROM VEHICLE,0344,25,F,H,108,PARKING LOT,,,IC,Invest Cont,330,,,,9TH                          ST,HILL                         ST,"(34.043, -118.2571)"
130101360,12/13/2013,12/13/2013,1700,01,Central,0185,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,64,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,14TH                         ST,MAIN                         ST,"(34.035, -118.2607)"
130101361,12/14/2013,12/14/2013,0310,01,Central,0161,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1402 0903 0319 1100 0430 0340,36,M,H,102,SIDEWALK,102,HAND GUN,IC,Invest Cont,230,998,,,7TH,FRANCISCO                    ST,"(34.0499, -118.2614)"
101105991,02/04/2010,02/03/2010,2200,11,Northeast,1126,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,900 N  AVENUE 56,,"(34.1174, -118.1972)"
130101363,12/14/2013,12/14/2013,1220,01,Central,0185,660,COUNTERFEIT,1402,37,M,H,203,OTHER BUSINESS,,,AA,Adult Arrest,660,998,,,1100    MAPLE                        AV,,"(34.0371, -118.2551)"
130101368,12/18/2013,12/15/2013,0205,01,Central,0162,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0429,24,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,,,8TH                          ST,HILL                         ST,"(34.0452, -118.2569)"
130101381,12/17/2013,12/17/2013,2005,01,Central,0195,624,BATTERY - SIMPLE ASSAULT,0416,36,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JO,Juv Other,624,,,,1800 S  MAIN                         ST,,"(34.0317, -118.2641)"
130101382,12/18/2013,12/18/2013,1255,01,Central,0158,624,BATTERY - SIMPLE ASSAULT,0448 0913 0444 0408,24,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,800 E  6TH                          ST,,"(34.0408, -118.2428)"
130101383,12/18/2013,12/18/2013,2015,01,Central,0158,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 1813 2004 1218 2000 1243 0416 2002,47,M,H,103,ALLEY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236,,,,600    CERES                        AV,,"(34.0398, -118.2413)"
130101388,12/23/2013,12/21/2013,0230,01,Central,0182,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,24,M,H,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,745,,,,11TH                         ST,HILL                         ST,"(34.0405, -118.2604)"
130101389,12/21/2013,12/21/2013,0130,01,Central,0171,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1402 0416 0417 1814,27,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,998,,,GEORGIA,OLYMPIC,"(34.0459, -118.2657)"
101123084,11/19/2010,11/18/2010,2130,11,Northeast,1137,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,400 N  AVENUE 52,,"(34.1107, -118.2027)"
130101390,12/21/2013,12/21/2013,2230,01,Central,0176,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1402 1813 0448 2004 1218 0444,36,F,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,998,,,9TH                          ST,WALL,"(34.0381, -118.2511)"
130101394,12/22/2013,12/22/2013,1330,01,Central,0161,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 0325 2004 0104 0378,,F,H,404,DEPARTMENT STORE,,,JA,Juv Arrest,442,,,,700 S  FIGUEROA                     ST,,"(34.0494, -118.2599)"
130101395,12/22/2013,12/22/2013,1600,01,Central,0139,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0319 1822 1402 0400,31,F,W,102,SIDEWALK,207,OTHER KNIFE,AO,Adult Other,230,998,,,4TH                          ST,HEWITT                       ST,"(34.0436, -118.2354)"
130101396,12/23/2013,12/23/2013,2140,01,Central,0166,624,BATTERY - SIMPLE ASSAULT,0416 0429,35,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,7TH                          ST,SAN PEDRO,"(34.0407, -118.2468)"
101230484,12/18/2010,12/17/2010,2230,12,77th Street,1203,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,50TH,WESTERN,"(33.9983, -118.3089)"
130101398,12/24/2013,12/23/2013,2300,01,Central,0153,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 0448 1813,24,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,500 S  SPRING                       ST,,"(34.0474, -118.2496)"
101226649,10/25/2010,10/25/2010,1145,12,77th Street,1239,510,VEHICLE - STOLEN,,,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,SLAUSON,VERMONT,"(33.9892, -118.2915)"
101116942,08/02/2010,08/01/2010,2000,11,Northeast,1113,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,STRATFORD,AVENUE 50,"(34.1232, -118.2064)"
101108475,03/18/2010,03/17/2010,1325,11,Northeast,1144,351,PURSE SNATCHING,,93,F,W,101,STREET,,,IC,Invest Cont,351,,,,SILVER LAKE,EDGEWATER,"(34.1007, -118.2602)"
101116672,07/27/2010,07/24/2010,1530,11,Northeast,1139,510,VEHICLE - STOLEN,,,,,101,STREET,,,AO,Adult Other,510,,,,200 S  AVENUE 64,,"(34.113, -118.1825)"
130101402,12/26/2013,12/25/2013,1500,01,Central,0159,330,BURGLARY FROM VEHICLE,0344,22,F,W,101,STREET,,,IC,Invest Cont,330,,,,1800    INDUSTRIAL                   ST,,"(34.0359, -118.2344)"
101211074,04/02/2010,03/29/2010,1200,12,77th Street,1211,510,VEHICLE - STOLEN,,,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,ARLINGTON,54TH,"(33.9932, -118.3177)"
130101404,12/26/2013,12/24/2013,1500,01,Central,0162,330,BURGLARY FROM VEHICLE,0344,34,M,O,101,STREET,,,IC,Invest Cont,330,,,,800 S  FLOWER                       ST,,"(34.0473, -118.2601)"
101218496,07/07/2010,07/02/2010,1600,12,77th Street,1245,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,VERMONT,FLORENCE,"(33.9746, -118.2918)"
131404881,01/12/2013,01/11/2013,2300,14,Pacific,1412,330,BURGLARY FROM VEHICLE,0377,25,F,W,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,00    NAVY                         ST,,"(33.9965, -118.4805)"
101111895,05/09/2010,05/08/2010,1900,11,Northeast,1139,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,AVENUE 58,FIGUEROA,"(34.11, -118.192)"
101320285,09/04/2010,09/04/2010,1900,13,Newton,1383,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,MAIN,GAGE,"(33.9824, -118.2739)"
101305923,01/29/2010,01/29/2010,2115,13,Newton,1333,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,2700    STANFORD                     AV,,"(34.0199, -118.2601)"
101306776,02/12/2010,02/11/2010,2200,13,Newton,1362,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,4900 S  SAN PEDRO                    ST,,"(33.9985, -118.2696)"
101310070,04/03/2010,04/03/2010,2020,13,Newton,1361,310,BURGLARY,0344,,F,W,101,STREET,,,AA,Adult Arrest,310,,,,100 W  45TH                         ST,,"(34.0029, -118.274)"
101310033,04/03/2010,04/02/2010,1800,13,Newton,1362,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,47TH,MAIN,"(34.0011, -118.274)"
101310608,04/10/2010,04/09/2010,2100,13,Newton,1341,350,"THEFT, PERSON",0344,51,F,W,710,OTHER PREMISE,,,IC,Invest Cont,350,,,,3800 S  BROADWAY,,"(34.0141, -118.277)"
101118478,08/27/2010,08/26/2010,2015,11,Northeast,1162,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,LEXINGTON,VIRGIL,"(34.0935, -118.2866)"
101312066,05/03/2010,05/02/2010,2300,13,Newton,1371,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,100 W  54TH                         ST,,"(33.9934, -118.2739)"
130101408,12/25/2013,12/25/2013,2337,01,Central,0153,624,BATTERY - SIMPLE ASSAULT,0416,25,M,B,210,RESTAURANT/FAST FOOD,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,500 S  SPRING                       ST,,"(34.0474, -118.2496)"
101317467,07/27/2010,07/26/2010,2215,13,Newton,1362,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,100 E  47TH                         ST,,"(34.0011, -118.274)"
101321095,09/16/2010,09/15/2010,2100,13,Newton,1345,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,3400    NAOMI                        AV,,"(34.0128, -118.2541)"
101320594,09/09/2010,09/07/2010,2000,13,Newton,1354,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,41ST,WOODLAWN,"(34.0082, -118.2728)"
130101410,12/26/2013,12/25/2013,1700,01,Central,0111,330,BURGLARY FROM VEHICLE,1609 0344 1402 1307,35,M,O,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330,998,,,600 N  FIGUEROA                     ST,,"(34.0627, -118.2463)"
101324651,11/08/2010,11/06/2010,1800,13,Newton,1333,330,BURGLARY FROM VEHICLE,0344 1251,23,F,H,101,STREET,,,IC,Invest Cont,330,,,,30TH,W  SAN PEDRO,"(34.0184, -118.2633)"
101324770,11/10/2010,11/09/2010,1640,13,Newton,1321,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,23RD,BROADWAY,"(34.0281, -118.268)"
101325192,11/16/2010,11/13/2010,2130,13,Newton,1365,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,1300 E  VERNON                       AV,,"(34.0039, -118.2521)"
101325645,11/22/2010,11/20/2010,1400,13,Newton,1373,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,800 E  52ND                         ST,,"(33.9958, -118.2617)"
101410587,04/14/2010,04/13/2010,1600,14,Pacific,1409,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,3600    WATSEKA                      AV,,"(34.0288, -118.3996)"
101411876,05/02/2010,05/01/2010,2100,14,Pacific,1435,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,3700    INGLEWOOD                    BL,,"(34.0082, -118.4305)"
130101412,12/28/2013,12/27/2013,2000,01,Central,0105,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329,23,M,H,702,OFFICE BUILDING/OFFICE,,,AA,Adult Arrest,740,,,,1000 N  BROADWAY,,"(34.0668, -118.2359)"
101215749,06/01/2010,05/29/2010,1230,12,77th Street,1258,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,74TH,BROADWAY,"(33.9728, -118.2783)"
101327412,12/18/2010,12/18/2010,1315,13,Newton,1367,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,46TH,ALAMEDA,"(34.0016, -118.2389)"
101223453,09/11/2010,09/09/2010,1730,12,77th Street,1258,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,7600 S  BROADWAY,,"(33.9708, -118.2783)"
130101413,12/28/2013,12/27/2013,2230,01,Central,0162,330,BURGLARY FROM VEHICLE,1609 0344 1307,27,F,H,108,PARKING LOT,,,IC,Invest Cont,330,,,,8TH,OLIVE,"(34.0452, -118.2569)"
131908594,03/19/2013,03/17/2013,2325,19,Mission,1924,648,ARSON,,53,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,648,,,,15100    FLORENTINE                   ST,,"(34.2935, -118.4598)"
101308005,03/03/2010,03/01/2010,2100,13,Newton,1361,510,VEHICLE - STOLEN,,,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,4700 S  BROADWAY,,"(34.001, -118.2783)"
101308764,03/15/2010,03/14/2010,2200,13,Newton,1342,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,36TH,MAPLE,"(34.0149, -118.2689)"
101324605,11/07/2010,11/06/2010,2345,13,Newton,1385,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,61ST,SAN PEDRO,"(33.9843, -118.2695)"
101322854,10/11/2010,09/29/2010,1500,13,Newton,1377,330,BURGLARY FROM VEHICLE,0344,47,M,H,101,STREET,,,IC,Invest Cont,330,,,,55TH,HOLMES,"(33.993, -118.2411)"
101405682,01/27/2010,01/26/2010,2300,14,Pacific,1435,330,BURGLARY FROM VEHICLE,0344,30,M,W,101,STREET,,,IC,Invest Cont,330,,,,CHARNOCK,FEDERAL,"(34.012, -118.4284)"
101306053,02/01/2010,02/01/2010,0840,13,Newton,1342,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,35TH,MAIN,"(34.0164, -118.2699)"
101408421,03/11/2010,03/10/2010,1500,14,Pacific,1407,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,REGENT,EMPIRE,"(34.0243, -118.4028)"
101415069,06/20/2010,06/18/2010,2030,14,Pacific,1468,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,SLAUSON,BRADDOCK,"(33.994, -118.4074)"
101427796,12/15/2010,12/12/2010,2000,14,Pacific,1488,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,88TH,BELFORD,"(33.9569, -118.3847)"
101505348,01/25/2010,01/25/2010,1015,15,N Hollywood,1583,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,CAMELLIA,AQUA VISTA,"(34.145, -118.3822)"
101518804,09/02/2010,08/31/2010,2200,15,N Hollywood,1553,330,BURGLARY FROM VEHICLE,0344 1605,24,M,W,101,STREET,,,IC,Invest Cont,330,,,,KLING,BEN,"(34.1558, -118.3943)"
101609317,04/20/2010,04/16/2010,2010,16,Foothill,1695,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,KESWICK,CLEON,"(34.2103, -118.3681)"
101704502,01/10/2010,01/08/2010,1230,17,Devonshire,1723,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,ETON,BLACKHAWK,"(34.2588, -118.5951)"
130101415,12/31/2013,12/29/2013,2220,01,Central,0152,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2004,41,F,B,710,OTHER PREMISE,308,STICK,AO,Adult Other,626,,,,4TH                          ST,FLOWER,"(34.053, -118.2548)"
101713093,06/15/2010,06/15/2010,1930,17,Devonshire,1701,510,VEHICLE - STOLEN,,,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,RINALDI,CORBIN,"(34.2748, -118.5621)"
101722059,12/04/2010,12/03/2010,2200,17,Devonshire,1785,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,PRAIRIE,RESEDA,"(34.2391, -118.5361)"
101806409,02/12/2010,02/12/2010,1400,18,Southeast,1842,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,10800 S  BROADWAY,,"(33.9383, -118.2781)"
